compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd01716	3-Dehydroshikimate	C7H7O5	-1	22	-10.9480	10.9480	171.0000	1.4826	12	1	0	6	0.5000	2	1	-2.6427	9	0
cpd08926	Phytosphingosine	C18H40NO3	1	18	-10.9350	10.9350	318.0000	1.2672	22	0	0	0	0.0000	3	16	2.4022	7	0
cpd00234	5-Dehydro-D-fructose	C6H10O6	0	8	10.9010	10.9010	178.0000	0.3998	12	0	0	0	0.0000	2	5	-3.1690	5	0
cpd00483	3-Hydroxyanthranilate	C7H6NO3	-1	10	-10.8840	10.8840	152.0000	1.0363	11	1	6	11	1.0000	0	1	-0.6621	9	0
cpd00359	indol	C8H7N	0	20	10.8650	10.8650	117.0000	0.5175	9	2	9	10	1.0000	0	0	2.1679	5	0
cpd00151	Thymine	C5H6N2O2	0	7	-10.8630	10.8630	126.0000		9	1	0	6	0.6667	1	0	-0.0569	8	0
cpd01498	Maleylacetate	C6H4O5	-2	8	10.8610	10.8610	156.0000	0.5052	11	0	0	8	0.8000	0	4	-2.9984	6	0
cpd00432	meso-Tartrate	C4H4O6	-2	5	-10.8560	10.8560	148.0000	0.5451	10	0	0	4	0.4444	2	3	-4.7920	6	0
cpd00183	Sarcosine	C3H7NO2	0	6	-10.7980	10.7980	89.0000	1.0702	6	0	0	2	0.4000	0	2	-3.0705	6	0
cpd00083	GDP-mannose	C16H23N5O16P2	-2	16	10.7610	10.7610	603.0000	16172.5567	39	4	9	12	0.2857	11	9	-5.8925	23	0
cpd01536	GDP-L-galactose	C16H23N5O16P2	-2	9	10.7500	10.7500	603.0000	16172.6436	39	4	9	12	0.2857	11	9	-5.8925	24	0
cpd02210	Indoleglycerol phosphate	C11H12NO6P	-2	9	10.7300	10.7300	286.0000	0.8848	19	2	9	10	0.5000	2	5	-0.5925	14	0
cpd01420	beta-Carotene	C40H56	0	18	-10.6970	10.6970	536.0000	5.3904	40	2	0	21	0.5122	0	10	12.6058	23	18
